eps=0.000001
 x      phi(x)        k
0.0  1.644933e+00  1000000
0.1  1.534606e+00  1000000
0.2  1.440878e+00  1000000
0.3  1.360082e+00  1000000
0.4  1.289577e+00  1000000
0.5  1.227410e+00  1000000
0.6  1.172104e+00  1000000
0.7  1.122518e+00  1000000
0.8  1.077758e+00  1000000
0.9  1.037110e+00  1000000
1.0  9.999990e-01  1000000
10.0  2.928958e-01  999995
20.0  1.798860e-01  999990
30.0  1.331652e-01  999985
40.0  1.069626e-01  999980
50.0  8.998311e-02  999975
60.0  7.799684e-02  999970
70.0  6.903953e-02  999965
80.0  6.206749e-02  999960
90.0  5.647201e-02  999955
100.0  5.187278e-02  999950
110.0  4.801931e-02  999945
120.0  4.473957e-02  999940
130.0  4.191124e-02  999935
140.0  3.944489e-02  999930
150.0  3.727354e-02  999925
160.0  3.534595e-02  999920
170.0  3.362225e-02  999915
180.0  3.207093e-02  999910
190.0  3.066673e-02  999905
200.0  2.938915e-02  999900
210.0  2.822139e-02  999895
220.0  2.714952e-02  999890
230.0  2.616190e-02  999885
240.0  2.524874e-02  999880
250.0  2.440170e-02  999875
260.0  2.361369e-02  999870
270.0  2.287859e-02  999865
280.0  2.219111e-02  999860
290.0  2.154665e-02  999855
300.0  2.094121e-02  999850
