>> coderk
delta=1e-08
|  i  |   h   |   t   |   x5   |   x4   |   e   |
| i=1 | 0.01 | 1.01 | 3.22255 | 3.22255 | 6.68949e-08 |
| i=2 | 0.00655657 | 1.01656 | 3.40642 | 3.40642 | 1.76212e-08 |
| i=3 | 0.00536925 | 1.02193 | 3.59197 | 3.59197 | 7.69844e-09 |
| i=4 | 0.00504765 | 1.02697 | 3.81083 | 3.81083 | 8.77565e-09 |
| i=5 | 0.00464285 | 1.03162 | 4.07414 | 4.07414 | 7.92525e-08 |
| i=6 | 0.00295932 | 1.03458 | 4.29376 | 4.29376 | 4.04239e-08 |
| i=7 | 0.00211022 | 1.03669 | 4.4908 | 4.4908 | 2.75011e-08 |
| i=8 | 0.00160452 | 1.03829 | 4.67542 | 4.67542 | 2.2036e-08 |
| i=9 | 0.0012659 | 1.03956 | 4.85273 | 4.85273 | 1.93373e-08 |
| i=10 | 0.00102073 | 1.04058 | 5.02548 | 5.02548 | 1.78351e-08 |
| i=11 | 0.000834204 | 1.04141 | 5.19523 | 5.19523 | 1.69184e-08 |
| i=12 | 0.000687789 | 1.0421 | 5.36292 | 5.36292 | 1.63198e-08 |
| i=13 | 0.000570486 | 1.04267 | 5.52913 | 5.52913 | 1.59096e-08 |
| i=14 | 0.000475201 | 1.04314 | 5.69427 | 5.69427 | 1.56186e-08 |
| i=15 | 0.000397051 | 1.04354 | 5.85862 | 5.85862 | 1.54069e-08 |
| i=16 | 0.000332509 | 1.04387 | 6.02234 | 6.02234 | 1.52497e-08 |
| i=17 | 0.000278935 | 1.04415 | 6.18558 | 6.18558 | 1.51306e-08 |
| i=18 | 0.000234298 | 1.04439 | 6.34842 | 6.34842 | 1.50388e-08 |
| i=19 | 0.000197004 | 1.04458 | 6.51093 | 6.51093 | 1.49664e-08 |
| i=20 | 0.00016578 | 1.04475 | 6.67315 | 6.67315 | 1.49079e-08 |
| i=21 | 0.000139596 | 1.04489 | 6.83512 | 6.83512 | 1.48594e-08 |
| i=22 | 0.000117611 | 1.04501 | 6.99685 | 6.99685 | 1.48182e-08 |
| i=23 | 9.91344e-05 | 1.04511 | 7.15837 | 7.15837 | 1.47824e-08 |
| i=24 | 8.35942e-05 | 1.04519 | 7.3197 | 7.3197 | 1.47506e-08 |
| i=25 | 7.05154e-05 | 1.04526 | 7.48084 | 7.48084 | 1.47218e-08 |
| i=26 | 5.95022e-05 | 1.04532 | 7.64181 | 7.64181 | 1.46955e-08 |
| i=27 | 5.0224e-05 | 1.04537 | 7.80262 | 7.80262 | 1.46712e-08 |
| i=28 | 4.24043e-05 | 1.04541 | 7.96328 | 7.96328 | 1.46488e-08 |
| i=29 | 3.58111e-05 | 1.04545 | 8.12381 | 8.12381 | 1.46281e-08 |
| i=30 | 3.02503e-05 | 1.04548 | 8.28421 | 8.28421 | 1.4609e-08 |
| i=31 | 2.55585e-05 | 1.0455 | 8.4445 | 8.4445 | 1.45914e-08 |
| i=32 | 2.15987e-05 | 1.04553 | 8.60469 | 8.60469 | 1.45753e-08 |
| i=33 | 1.82558e-05 | 1.04554 | 8.76479 | 8.76479 | 1.45607e-08 |
| i=34 | 1.54328e-05 | 1.04556 | 8.92481 | 8.92481 | 1.45474e-08 |
| i=35 | 1.30484e-05 | 1.04557 | 9.08476 | 9.08476 | 1.45355e-08 |
| i=36 | 1.10339e-05 | 1.04558 | 9.24464 | 9.24464 | 1.45249e-08 |
| i=37 | 9.33151e-06 | 1.04559 | 9.40447 | 9.40447 | 1.45154e-08 |
| i=38 | 7.89264e-06 | 1.0456 | 9.56425 | 9.56425 | 1.45071e-08 |
| i=39 | 6.67629e-06 | 1.04561 | 9.72399 | 9.72399 | 1.44998e-08 |
| i=40 | 5.64786e-06 | 1.04561 | 9.88369 | 9.88369 | 1.44935e-08 |
| i=41 | 4.7782e-06 | 1.04562 | 10.0434 | 10.0434 | 1.4488e-08 |
| i=42 | 4.0427e-06 | 1.04562 | 10.203 | 10.203 | 1.44833e-08 |
| i=43 | 3.42061e-06 | 1.04563 | 10.3626 | 10.3626 | 1.44792e-08 |
| i=44 | 2.89438e-06 | 1.04563 | 10.5223 | 10.5223 | 1.44758e-08 |
| i=45 | 2.4492e-06 | 1.04563 | 10.6819 | 10.6819 | 1.44729e-08 |
| i=46 | 2.07256e-06 | 1.04563 | 10.8414 | 10.8414 | 1.44705e-08 |
| i=47 | 1.75389e-06 | 1.04563 | 11.001 | 11.001 | 1.44685e-08 |
| i=48 | 1.48425e-06 | 1.04564 | 11.1606 | 11.1606 | 1.44668e-08 |
| i=49 | 1.25609e-06 | 1.04564 | 11.3201 | 11.3201 | 1.44654e-08 |
| i=50 | 1.06302e-06 | 1.04564 | 11.4797 | 11.4797 | 1.44642e-08 |
